Codigo;Nombre;Referencia;Categoria;Descripcion;Partida arancelaria;Marca;Modelo;Nombre impuesto;Porcentaje impuesto;Tipo impuesto;Cuenta de ingresos;Cuenta de inventario;Cuenta de costo de venta;Unidad de medida;Codigo del producto o servicio;Venta en negativo;Precio: General;Costo unitario;Cantidad inicial en bodega: Principal;Cantidad minima en bodega: Principal;Cantidad maxima en bodega: Principal;Codigo de barras;FAMILIA;GARANTIA;GAMA;FECHA DE INGRESO (dd/mm/yyyy);PROVEEDOR;NUEVO;Mostrar item en tienda;Archivo_Origen;cantidad_actual
11;CABLE TELEFONO;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;6000,000000;3000,000000;3.0;0.0;0.0;6936850024054;CABLES;30 DIAS;MEDIA;07/11/2022;ALBERTO ABS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
12;DIADEMA K15;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;30000,000000;18900,000000;1.0;0.0;0.0;6973242270026;SONIDO;30 DIAS;BAJA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
13;DIADEMA KUBITE;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;50000,000000;30000,000000;1.0;0.0;0.0;2112;ENERGIA;30 DIAS;BAJA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
14;CABLE TELEFONO ESPIRAL 3 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;2000,000000;5000,000000;2.0;0.0;0.0;6936850124037;CABLES;30 DIAS;MEDIA;07/11/2022;ALBERTO ABS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
15;DIADEMA BRIGHTSIDE;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;85000,000000;60000,000000;2.0;0.0;0.0;BSE'H003;SONIDO;30 DIAS;MEDIA;07/11/2022;DIANA;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
16;MULTITOMA 6 PUERTOS GLOBY;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;12000,000000;7150,000000;3.0;0.0;0.0;7453021108256;ENERGIA;30 DIAS;MEDIA;07/11/2022;ANDRES;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
17;DIADEMA D202;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;15000,000000;9000,000000;1.0;0.0;0.0;2101;SONIDO;30 DIAS;BAJA;07/11/2022;UNITEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
18;DIADEMA GATO 028;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;70000,000000;58000,000000;2.0;0.0;0.0;6935185208153;SONIDO;30 DIAS;MEDIA;07/11/2022;DIANA;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
19;CABLE OPTICO 1.8 MTS JALTECH;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;20000,000000;11000,000000;4.0;0.0;0.0;10997;CABLES;30 DIAS;ALTA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
20;DIADEMA GAMER GT5000D;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;130000,000000;82900,000000;3.0;0.0;0.0;7709027529428;SONIDO;30 DIAS;ALTA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
21;CABLE VGA 1.8 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;4885,000000;6.0;0.0;0.0;1175600;CABLES;30 DIAS;MEDIA;07/11/2022;UNITEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
22;DIADEMA GAMER GT8D;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;130000,000000;80000,000000;1.0;0.0;0.0;7709027529459;SONIDO;30 DIAS;ALTA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
23;CABLE VGA 1.8;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;5000,000000;4.0;0.0;0.0;7454215471279;CABLES;30 DIAS;MEDIA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
24;DIADEMA GT7VD;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;130000,000000;75000,000000;1.0;0.0;0.0;7709753421096;SONIDO;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
25;CABLE VGA 5 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;20000,000000;9000,000000;3.0;0.0;0.0;74542;CABLES;30 DIAS;MEDIA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
26;DIADEMA GAMER GT200D;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;130000,000000;82900,000000;1.0;0.0;0.0;2102;SONIDO;30 DIAS;ALTA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
27;DIADEMA GAMER GT15D;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;130000,000000;82900,000000;1.0;0.0;0.0;7708953966727;SONIDO;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
28;DIADEMA GAMER V2;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;130000,000000;82900,000000;2.0;0.0;0.0;2103;SONIDO;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
29;CABLE VGA 5 MTS XCFV50;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;15000,000000;7000,000000;4.0;0.0;0.0;6290132558003;CABLES;30 DIAS;MEDIA;07/11/2022;ALBERTO ABS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
30;DIADEMA MARIQUITA AH806F;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;70000,000000;48000,000000;4.0;0.0;0.0;8605541878068;SONIDO;30 DIAS;BAJA;07/11/2022;DIANA;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
31;DIADEMA USB 024MV;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;100000,000000;63400,000000;1.0;0.0;0.0;7708969433138;SONIDO;30 DIAS;MEDIA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
32;DIADEMA BK26;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;75000,000000;48000,000000;1.0;0.0;0.0;6949856100264;SONIDO;30 DIAS;MEDIA;07/11/2022;MATILU;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
33;DIADEMA GAMER;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;95000,000000;63000,000000;1.0;0.0;0.0;2104;SONIDO;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
34;DIAEMA USB SY440MV;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;55000,000000;35000,000000;3.0;0.0;0.0;11107;SONIDO;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
35;CABLE IMPRESORA 5 MTS WD;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;15000,000000;11000,000000;4.0;0.0;0.0;790910341835;CABLES;30 DIAS;MEDIA;07/11/2022;WD;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
36;DIAEMA P4;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;45000,000000;28000,000000;1.0;0.0;0.0;8098761991011;SONIDO;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
37;CABLE IMPRESORA JALTECH 3 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;12000,000000;7000,000000;2.0;0.0;0.0;10545;CABLES;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
38;DIADEMA SG4027;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;30000,000000;17000,000000;2.0;0.0;0.0;2105;SONIDO;30 DIAS;MEDIA;07/11/2022;SPEED SONG;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
39;DIADEMA SG3306;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;45000,000000;30000,000000;2.0;0.0;0.0;2106;SONIDO;30 DIAS;MEDIA;07/11/2022;SPEED SONG;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
40;CABLE IMPRESORA 3 MTS UNITEC;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;5000,000000;3.0;0.0;0.0;2200;CABLES;30 DIAS;MEDIA;07/11/2022;UNITEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
41;CABLE IMPRESORA 3 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;12000,000000;7000,000000;4.0;0.0;0.0;7454215478742;CABLES;30 DIAS;MEDIA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
42;DIADEMA GATO M247;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;40000,000000;25000,000000;2.0;0.0;0.0;6954774700472;SONIDO;30 DIAS;BAJA;07/11/2022;DIANA;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
43;DIADEMA N65;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;40000,000000;25000,000000;2.0;0.0;0.0;BS'N65BT;SONIDO;30 DIAS;MEDIA;07/11/2022;DISTRIMOVIL;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
44;CABLE IMPRESORA 2 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;6000,000000;2.0;0.0;0.0;2201;CABLES;30 DIAS;MEDIA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
45;DIADEMA XN211;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;70000,000000;45000,000000;1.0;0.0;0.0;6970271822288;SONIDO;30 DIAS;MEDIA;07/11/2022;MATILU;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
46;DIADEMA J03;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;20000,000000;12000,000000;1.0;0.0;0.0;7707216113984;SONIDO;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
47;DIADEMA BLUETOOTH 53215;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;60000,000000;45000,000000;1.0;0.0;0.0;7707309655315;SONIDO;30 DIAS;MEDIA;07/11/2022;DIANA;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
48;DIADEMA GENIUS 400F;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;29000,000000;18000,000000;1.0;0.0;0.0;091163237273;SONIDO;30 DIAS;BAJA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
49;DIADEMA REDRAGON;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;70000,000000;45000,000000;1.0;0.0;0.0;6950376750648;SONIDO;30 DIAS;MEDIA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
50;DIADEMA GAMER G4000;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;70000,000000;45000,000000;1.0;0.0;0.0;6935358000195;SONIDO;30 DIAS;MEDIA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
51;DIADEMA PC 028;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;70000,000000;45000,000000;3.0;0.0;0.0;11022;SONIDO;30 DIAS;MEDIA;07/11/2022;UNITEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
52;DIADEMA GAMER CALL OF DUTY;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;130000,000000;89000,000000;1.0;0.0;0.0;5738054720692;SONIDO;30 DIAS;ALTA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
53;DIADEMA GAMER FORNITE 070MB;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;130000,000000;89000,000000;1.0;0.0;0.0;5738054720708;SONIDO;30 DIAS;MEDIA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
54;CABLE DE IMPRESORA 3 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;6000,000000;5.0;0.0;0.0;2202;CABLES;30 DIAS;MEDIA;07/11/2022;WD;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
55;DIADEMA GAMER 023MV;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;90000,000000;65000,000000;1.0;0.0;0.0;7709161870844;SONIDO;30 DIAS;ALTA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
56;DIADEMA BH04;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;55000,000000;32000,000000;1.0;0.0;0.0;BH'04;SONIDO;30 DIAS;BAJA;07/11/2022;DIANA;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
57;CABLE DE RED 10 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;15000,000000;9000,000000;5.0;0.0;0.0;10525;CABLES;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
58;DIADEMA GATO USB AKZ023;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;75000,000000;50000,000000;1.0;0.0;0.0;306545640238;SONIDO;30 DIAS;MEDIA;07/11/2022;DIANA;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
59;DIADEMA H2178D;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;38000,000000;23000,000000;1.0;0.0;0.0;6950676237979;SONIDO;30 DIAS;BAJA;07/11/2022;HAVIT;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
60;CABLE DE RED 5 MTS UNITEC;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;6000,000000;7.0;0.0;0.0;1520;CABLES DE RED;30 DIAS;MEDIA;07/11/2022;UNITEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
61;DIADEMA Q8851S;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;25000,000000;15000,000000;4.0;0.0;0.0;2107;SONIDO;30 DIAS;BAJA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
62;CABLE DE RED 2 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;6000,000000;4000,000000;1.0;0.0;0.0;11773;CABLES DE RED;30 DIAS;MEDIA;07/11/2022;UNITEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
63;DIADEMA BLUETOOTH TM014;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;35000,000000;20000,000000;1.0;0.0;0.0;2108;SONIDO;30 DIAS;BAJA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
64;DIADEMA PC 017MV;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;30000,000000;19000,000000;2.0;0.0;0.0;7454215587253;SONIDO;30 DIAS;MEDIA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
65;DIADEMA SG3800;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;55000,000000;37000,000000;1.0;0.0;0.0;2109;SONIDO;30 DIAS;BAJA;07/11/2022;SPEED SONG;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
66;DIADEMA GENIUS HS920BT;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;35000,000000;25000,000000;1.0;0.0;0.0;2110;SONIDO;30 DIAS;BAJA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
67;DIADEMA ENERGY 420;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;35000,000000;25000,000000;1.0;0.0;0.0;8432426381845;SONIDO;30 DIAS;BAJA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
68;DIADEMA BLUETOOTH TIPO APPLE P9;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;42000,000000;27000,000000;2.0;0.0;0.0;6954774700083;SONIDO;30 DIAS;MEDIA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
69;DIADEMA GAMER 071-MV;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;149000,000000;105000,000000;1.0;0.0;0.0;5738054720715;SONIDO;30 DIAS;ALTA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
70;EXTENSION USB 5 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;15000,000000;9000,000000;3.0;0.0;0.0;6290132557488;CABLES;30 DIAS;MEDIA;07/11/2022;IMPORTEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
71;DIADEMA USB Q2;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;60000,000000;40000,000000;3.0;0.0;0.0;10865;SONIDO;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
72;EXTENSION USB 2 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;6000,000000;2.0;0.0;0.0;7454215478773;CABLES;30 DIAS;MEDIA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
73;DIADEMA PC WD808;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;20000,000000;11500,000000;3.0;0.0;0.0;7702010050015;SONIDO;30 DIAS;BAJA;07/11/2022;WD;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
74;EXTENSION USB 3 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;6000,000000;7.0;0.0;0.0;7702242241038;CABLES;30 DIAS;MEDIA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
75;DIADEMA 012MV;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;40000,000000;25500,000000;1.0;0.0;0.0;7425200211149;SONIDO;30 DIAS;BAJA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
76;EXTENSION USB 1.5 MTS JALTECH;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;8000,000000;6000,000000;1.0;0.0;0.0;10505;CABLES;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
77;EXTENSION USB 1.5 MTS;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;6000,000000;4000,000000;1.0;0.0;0.0;7702242241083;CABLES;30 DIAS;MEDIA;07/11/2022;IMPORTEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
78;DIADEMA HAVIT H202D;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;22000,000000;15000,000000;1.0;0.0;0.0;6939119033705;SONIDO;30 DIAS;BAJA;07/11/2022;HAVIT;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
79;EXTENSION USB 1.5 SG-56;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;6000,000000;4.0;0.0;0.0;SG-56;CABLES;30 DIAS;MEDIA;07/11/2022;SPEED SONG;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
80;DIADEMA 014MV;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;25000,000000;15000,000000;3.0;0.0;0.0;085234132611;SONIDO;30 DIAS;BAJA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
81;DIADEMA 060MV;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;45000,000000;29000,000000;1.0;0.0;0.0;5738054720609;SIN FAMILIA;30 DIAS;BAJA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
82;DIADEMA BLUETOOTH 055-MV;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;85000,000000;59000,000000;1.0;0.0;0.0;5738054720555;SONIDO;30 DIAS;MEDIA;07/11/2022;J&R;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
83;DIADEMA PS4 DE;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;55000,000000;37500,000000;1.0;0.0;0.0;6290132558867;SIN FAMILIA;30 DIAS;BAJA;07/11/2022;IMPORTEC;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
84;DIADEMA BESTON;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;15000,000000;7000,000000;1.0;0.0;0.0;2111;CABLES;30 DIAS;BAJA;07/11/2022;VARIOS;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
85;ARO DE LUZ ESPEJO HX-D04;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;45000,000000;27000,000000;3.0;0.0;0.0;6290132567456;ACCESORIOS Y PERIFERICOS;30 DIAS;MEDIA;07/11/2022;ROSBEIRO;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
86;CABLE VGA EN Y;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;15000,000000;9000,000000;1.0;0.0;0.0;790910340746;CABLES;30 DIAS;MEDIA;07/11/2022;WD;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
87;ARO DE LUZ RGB MJ26;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;100000,000000;73000,000000;1.0;0.0;0.0;2301;ACCESORIOS Y PERIFERICOS;30 DIAS;MEDIA;07/11/2022;DISTRIMOVIL;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
88;CABLE DISCO DURO 3.1 A USB;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;18000,000000;11000,000000;3.0;0.0;0.0;790910340319;CABLES;30 DIAS;MEDIA;07/11/2022;WD;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
89;ARO DE LUZ RGB 30CM;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;100000,000000;75000,000000;1.0;0.0;0.0;7702202001504;ACCESORIOS Y PERIFERICOS;30 DIAS;MEDIA;07/11/2022;DISTRIMOVIL;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
90;CABLE USB A 5 PINES;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;10000,000000;6000,000000;7.0;0.0;0.0;10634;CABLES;30 DIAS;MEDIA;07/11/2022;JALTECH;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
91;LÁMPARA LUZ TIPO SOL HXD17;;;;;;;;;;Ventas;Inventarios;Costos del inventario;Unidad;;Si;40000,000000;24000,000000;2.0;0.0;0.0;6290132573976;ACCESORIOS Y PERIFERICOS;30 DIAS;BAJA;07/11/2022;ROSBEIRO;Si;Si;Plantilla items - 2026-01-20 - 1.xlsx;
